phase,scenario,workload,tier,iters,p50_ms,p90_ms,p95_ms,p99_ms,max_ms,ops_per_sec,extra
1,ledger-point,,hot,2000,1.42,1.99,2.11,2.32,2.77,690,
1,ledger-point,,cold,2000,1.29,1.87,2.18,2.53,3.15,746,
1,ledger-range,n=10,hot,500,14.44,16.51,17.17,18.56,19.34,70,
1,ledger-range,n=10,cold,500,13.45,15.45,16.23,17.74,19.99,75,
1,ledger-range,n=100,hot,200,144.6,157.9,161.4,175.6,179.1,7,
1,ledger-range,n=100,cold,200,133.7,146.7,148.8,157.3,167.9,8,
1,ledger-range,n=1000,hot,50,1414,1523,1543,1579,1579,0.71,
1,ledger-range,n=1000,cold,50,1297,1379,1397,1478,1478,0.77,
1,ledger-range,n=5000,hot,20,7297,7431,7441,7441,7441,0.14,
1,ledger-range,n=5000,cold,20,6689,6764,6768,6768,6768,0.15,
2,tx-page,page=5,hot,200,11.63,13.59,14.09,15.38,26.96,87,
2,tx-page,page=5,cold,200,11.80,13.97,14.41,16.09,27.85,87,
2,tx-page,page=20,hot,200,11.92,14.62,22.33,28.11,28.87,82,
2,tx-page,page=20,cold,200,11.87,14.89,21.58,27.72,27.78,82,
2,tx-page,page=100,hot,100,12.95,25.23,26.65,29.83,29.83,65,
2,tx-page,page=100,cold,100,12.96,24.91,27.13,30.44,30.44,65,
3,tx-hash,,hot,1000,11.91,13.84,14.37,15.23,17.17,87,
3,tx-hash,,cold,1000,11.81,13.73,14.29,15.19,17.22,88,
4,events,no-filter,hot,500,5.26,5.61,5.79,7.26,7.92,189,avg_events_per_iter=1000
4,events,no-filter,cold,500,2.27,3.25,3.39,3.70,3.85,416,avg_events_per_iter=1000
4,events,contract,hot,500,0.214,6.08,8.41,12.02,12.91,603,avg_events_per_iter=161
4,events,contract,cold,500,0.294,15.86,20.65,44.45,44.74,234,avg_events_per_iter=161
4,events,topic,hot,500,4.72,6.06,6.29,7.40,8.61,199,avg_events_per_iter=1000
4,events,topic,cold,500,8.32,25.22,25.40,25.99,27.35,95,avg_events_per_iter=1000
4,events,both,hot,500,0.067,0.752,2.63,9.89,14.00,1845,avg_events_per_iter=27.5
4,events,both,cold,500,0.081,0.824,3.03,27.04,45.61,966,avg_events_per_iter=27.5
